Ship Name,Country,Latitude,Longitude
Bishop Rock, England,49.75,-6.583333333
Cape Leeuwin,Australia,-34.53333333,115.1333333
Cape of Good Hope, South Africa,-34.36666667,18.38333333
Fastnet Rock,Ireland,51.33333333,-9.6
Grand Banks South,Atlantic,42.5,-50
Honshu, Japan,35,140.5
Ile dâ€™Ouessant,France,48.66666667,-5.5
Inishtrahull,Ireland,55.41666667,-7.5
Montreal, Canada,45.5,-73.55
Nord-Ostsee-Kanal,Germany,54.36666667,10.15
Panama,Panama,8.883333333,-79.51666667
Pentland Firth, Scotland,58.7,-3.333333333
Port Said,Egypt,31.26666667,32.31666667
Punta Arenas,Chile,-53.16666667,-70.9
Selat Lombok, Indonesia,-8.833333333,115.7166667
Selat Sunda,Indonesia,-6.066666667,105.8333333
Selat Wetar,Indonesia,-8.31666666,127.45
Singapore,,31.2666666,103.8333
Skagens Odde,Denmark,57.8,10.7333333
Strait of Gibraltar,Gibraltar,35.95,-5.75
Straits of Florida,U.S.A,24.41666666,-83
Torres Strait,Australia,-10.55,142.1333333
Tsugaru-Kaikyo,Japan,41.5,140.6666667
Wilson Promontory, Australia,-39.16666667,146.4333333
Yucatan Channel,,21.83333333,-85.05
